year,month,program,script,live_call,adherent,days_to_refill_band,days_missed_band,engaged,days_to_initial_call,targeted_members,outreached_members,reached_members,engaged_members,days_to_refill,days_missed
2015,3,IVR,Late to Refill,0,1,10-Aug,22-30,0,66,10,10,2,0,96,279
2015,3,IVR,Late to Refill,0,1,10-Aug,31-60,0,18,3,3,0,0,28,130
2015,3,IVR,Late to Refill,0,1,10-Aug,31-60,1,10,2,2,2,2,18,120
2015,3,IVR,Late to Refill,0,1,10-Aug,14-Aug,0,229,35,35,8,0,308,339
2015,3,IVR,Late to Refill,0,1,10-Aug,14-Aug,1,127,18,18,18,18,165,173
2015,3,IVR,Late to Refill,0,1,10-Aug,>60,0,10,2,2,0,0,18,122
2015,3,IVR,Late to Refill,0,1,<=3,15-21,0,93,14,14,5,0,30,234
2015,3,IVR,Late to Refill,0,1,<=3,15-21,1,14,2,2,2,2,3,35
2015,3,IVR,Late to Refill,0,1,<=3,22-30,0,136,21,21,7,0,36,613
2015,3,IVR,Late to Refill,0,1,<=3,22-30,1,58,9,9,9,9,18,248
2015,3,IVR,Late to Refill,0,1,<=3,31-60,0,60,9,9,1,0,18,399
2015,3,IVR,Late to Refill,0,1,<=3,31-60,1,48,7,7,7,7,16,376
2015,3,IVR,Late to Refill,0,1,<=3,14-Aug,0,244,38,38,5,0,89,412
2015,3,IVR,Late to Refill,0,1,<=3,14-Aug,1,134,21,21,21,21,34,219
2015,3,IVR,Late to Refill,0,1,<=3,<=7,0,1276,194,194,48,0,375,579
2015,3,IVR,Late to Refill,0,1,<=3,<=7,1,509,75,75,74,75,135,245
2015,3,IVR,Late to Refill,0,1,>10,15-21,0,245,38,38,6,0,706,677
2015,3,IVR,Late to Refill,0,1,>10,15-21,1,180,27,27,27,27,428,480
2015,3,IVR,Late to Refill,0,1,>10,22-30,0,408,63,63,17,0,1329,1685
2015,3,IVR,Late to Refill,0,1,>10,22-30,1,219,33,33,32,33,783,887
2015,3,IVR,Late to Refill,0,1,>10,31-60,0,969,147,147,42,0,6555,6834
2015,3,IVR,Late to Refill,0,1,>10,31-60,1,308,45,45,45,45,2125,2098
2015,3,IVR,Late to Refill,0,1,>10,14-Aug,0,295,45,45,9,0,1007,569
2015,3,IVR,Late to Refill,0,1,>10,14-Aug,1,133,21,21,21,21,667,275
2015,3,IVR,Late to Refill,0,1,>10,<=7,0,91,14,14,1,0,2222,62
2015,3,IVR,Late to Refill,0,1,>10,<=7,1,14,2,2,2,2,273,3
2015,3,IVR,Late to Refill,0,1,>10,>60,0,21629,3240,3240,969,0,918841,290722
2015,3,IVR,Late to Refill,0,1,>10,>60,1,9739,1426,1426,1419,1426,408460,127859
2015,3,IVR,Chronic Non-Adherent,0,0,,,,,41883,0,,,,
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,15-21,0,71,11,11,2,0,56,198
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,15-21,1,43,6,6,6,6,35,101
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,22-30,0,94,13,13,1,0,71,343
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,22-30,1,17,3,3,3,3,17,83
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,31-60,0,75,12,12,1,0,71,530
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,31-60,1,26,4,4,4,4,23,205
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,14-Aug,0,62,9,9,3,0,46,95
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,14-Aug,1,35,5,5,5,5,30,50
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,<=7,0,553,82,82,25,0,460,68
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,<=7,1,255,37,37,35,37,219,69
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,>60,0,66,9,9,0,0,59,644
2015,3,IVR,Chronic Non-Adherent,0,0,7-Apr,>60,1,42,6,6,6,6,31,444
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,15-21,0,49,7,7,2,0,64,131
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,15-21,1,8,1,1,1,1,8,16
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,22-30,0,57,8,8,3,0,74,213
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,22-30,1,7,1,1,1,1,8,28
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,31-60,0,72,11,11,4,0,98,457
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,14-Aug,0,58,8,8,2,0,76,79
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,14-Aug,1,33,5,5,5,5,45,57
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,<=7,0,595,87,87,21,0,774,105
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,<=7,1,247,38,38,38,38,345,51
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,>60,0,26,4,4,0,0,33,285
2015,3,IVR,Chronic Non-Adherent,0,0,10-Aug,>60,1,6,1,1,1,1,10,62
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,15-21,0,47284,7028,7028,2150,0,27,125740
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,15-21,1,22991,3375,3375,3349,3375,0,60352
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,22-30,0,49191,7330,7330,2283,0,10,189414
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,22-30,1,24237,3568,3568,3535,3568,6,91789
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,31-60,0,79720,11993,11993,3631,0,1,519521
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,31-60,1,36102,5368,5368,5309,5368,10,233192
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,14-Aug,0,63269,9435,9435,3109,0,13,100956
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,14-Aug,1,32939,4831,4831,4787,4831,1,51577
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,<=7,0,324217,47743,47743,17001,0,122,64634
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,<=7,1,179343,26118,26118,25886,26118,50,32566
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,>60,0,33110,4971,4971,1508,0,11,361245
2015,3,IVR,Chronic Non-Adherent,0,0,<=3,>60,1,14225,2115,2115,2086,2115,6,153220
2015,3,IVR,Chronic Non-Adherent,0,0,>10,15-21,0,806,120,120,34,0,19757,2105
2015,3,IVR,Chronic Non-Adherent,0,0,>10,15-21,1,363,55,55,55,55,7124,953
2015,3,IVR,Chronic Non-Adherent,0,0,>10,22-30,0,921,142,142,43,0,22948,3693
2015,3,IVR,Chronic Non-Adherent,0,0,>10,22-30,1,408,60,60,60,60,11076,1471
2015,3,IVR,Chronic Non-Adherent,0,0,>10,31-60,0,1661,253,253,68,0,43673,10706
2015,3,IVR,Chronic Non-Adherent,0,0,>10,31-60,1,769,117,117,114,117,22048,4970
2015,3,IVR,Chronic Non-Adherent,0,0,>10,14-Aug,0,1487,226,226,77,0,32839,2404
2015,3,IVR,Chronic Non-Adherent,0,0,>10,14-Aug,1,648,96,96,95,96,13804,1060
2015,3,IVR,Chronic Non-Adherent,0,0,>10,<=7,0,10967,1632,1632,525,0,234285,1618
2015,3,IVR,Chronic Non-Adherent,0,0,>10,<=7,1,5963,879,879,873,879,116559,686
2015,3,IVR,Chronic Non-Adherent,0,0,>10,>60,0,566,85,85,20,0,15822,6103
2015,3,IVR,Chronic Non-Adherent,0,0,>10,>60,1,225,33,33,33,33,6932,2340
2015,3,IVR,Chronic Non-Adherent,0,1,,,,,12507,0,,,,
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,15-21,0,73,11,11,5,0,65,194
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,15-21,1,7,1,1,1,1,4,17
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,22-30,0,40,6,6,1,0,35,155
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,22-30,1,6,1,1,1,1,6,23
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,31-60,0,21,3,3,0,0,16,122
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,14-Aug,0,94,14,14,1,0,71,147
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,<=7,0,1152,170,170,40,0,935,110
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,<=7,1,419,60,60,60,60,348,58
2015,3,IVR,Chronic Non-Adherent,0,1,7-Apr,>60,0,44,7,7,2,0,32,510
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,15-21,0,70,10,10,2,0,90,177
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,22-30,0,17,3,3,0,0,29,69
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,22-30,1,6,1,1,1,1,8,26
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,31-60,0,44,7,7,2,0,59,284
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,31-60,1,22,3,3,3,3,27,116
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,14-Aug,0,92,14,14,4,0,124,147
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,14-Aug,1,34,5,5,5,5,45,60
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,<=7,0,889,133,133,39,0,1175,79
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,<=7,1,297,43,43,43,43,399,29
2015,3,IVR,Chronic Non-Adherent,0,1,10-Aug,>60,0,6,1,1,0,0,9,67
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,15-21,0,15050,2242,2242,738,0,14,39544
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,15-21,1,7848,1145,1145,1133,1145,9,20148
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,22-30,0,12619,1865,1865,621,0,17,47916
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,22-30,1,5749,837,837,828,837,6,21441
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,31-60,0,14243,2133,2133,673,0,6,91115
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,31-60,1,6761,987,987,979,987,2,42088
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,14-Aug,0,24408,3636,3636,1295,0,3,38406
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,14-Aug,1,11952,1751,1751,1734,1751,10,18495
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,<=7,0,158891,23520,23520,8293,0,154,29297
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,<=7,1,85569,12475,12475,12385,12475,67,14798
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,>60,0,4453,660,660,205,0,6,47942
2015,3,IVR,Chronic Non-Adherent,0,1,<=3,>60,1,1996,289,289,282,289,0,20824
2015,3,IVR,Chronic Non-Adherent,0,1,>10,15-21,0,734,108,108,30,0,11715,1891
2015,3,IVR,Chronic Non-Adherent,0,1,>10,15-21,1,257,37,37,37,37,4668,650
2015,3,IVR,Chronic Non-Adherent,0,1,>10,22-30,0,598,86,86,36,0,12502,2209
2015,3,IVR,Chronic Non-Adherent,0,1,>10,22-30,1,247,36,36,36,36,3565,965
2015,3,IVR,Chronic Non-Adherent,0,1,>10,31-60,0,588,91,91,20,0,10486,3924
2015,3,IVR,Chronic Non-Adherent,0,1,>10,31-60,1,245,36,36,36,36,5021,1552
2015,3,IVR,Chronic Non-Adherent,0,1,>10,14-Aug,0,982,147,147,48,0,17410,1535
2015,3,IVR,Chronic Non-Adherent,0,1,>10,14-Aug,1,611,89,89,89,89,11223,928
2015,3,IVR,Chronic Non-Adherent,0,1,>10,<=7,0,18726,2767,2767,1017,0,354685,1350
2015,3,IVR,Chronic Non-Adherent,0,1,>10,<=7,1,9700,1418,1418,1408,1418,181767,601
2015,3,IVR,Chronic Non-Adherent,0,1,>10,>60,0,158,24,24,7,0,3035,1688
2015,3,IVR,Chronic Non-Adherent,0,1,>10,>60,1,100,15,15,15,15,3505,1087
2015,4,IVR,Late to Refill,0,0,7-Apr,15-21,0,383,137,137,40,0,790,2364
2015,4,IVR,Late to Refill,0,0,7-Apr,15-21,1,121,49,49,49,49,272,884
2015,4,IVR,Late to Refill,0,0,7-Apr,22-30,0,1139,331,331,81,0,1820,9306
2015,4,IVR,Late to Refill,0,0,7-Apr,22-30,1,349,116,116,116,116,623,3309
2015,4,IVR,Late to Refill,0,0,7-Apr,31-60,0,1229,342,342,113,0,1881,16416
2015,4,IVR,Late to Refill,0,0,7-Apr,31-60,1,197,61,61,55,61,343,2973
2015,4,IVR,Late to Refill,0,0,7-Apr,14-Aug,0,647,234,234,75,0,1302,2535
2015,4,IVR,Late to Refill,0,0,7-Apr,14-Aug,1,273,88,88,85,88,475,955
2015,4,IVR,Late to Refill,0,0,7-Apr,<=7,0,5916,2113,2113,889,0,11592,11669
2015,4,IVR,Late to Refill,0,0,7-Apr,<=7,1,1861,705,705,699,705,3777,3834
2015,4,IVR,Late to Refill,0,0,7-Apr,>60,0,14,5,5,0,0,26,386
2015,4,IVR,Late to Refill,0,0,10-Aug,15-21,0,275,84,84,34,0,749,1498
2015,4,IVR,Late to Refill,0,0,10-Aug,15-21,1,99,36,36,36,36,321,672
2015,4,IVR,Late to Refill,0,0,10-Aug,22-30,0,612,214,214,65,0,1888,6060
2015,4,IVR,Late to Refill,0,0,10-Aug,22-30,1,289,79,79,75,79,708,2200
2015,4,IVR,Late to Refill,0,0,10-Aug,31-60,0,890,280,280,97,0,2493,13674
2015,4,IVR,Late to Refill,0,0,10-Aug,31-60,1,239,60,60,60,60,545,2987
2015,4,IVR,Late to Refill,0,0,10-Aug,14-Aug,0,3361,1212,1212,590,0,10867,11170
2015,4,IVR,Late to Refill,0,0,10-Aug,14-Aug,1,1190,421,421,419,421,3792,3924
2015,4,IVR,Late to Refill,0,0,10-Aug,>60,0,18,6,6,0,0,54,439
2015,4,IVR,Late to Refill,0,0,10-Aug,>60,1,3,1,1,1,1,10,75
2015,4,IVR,Late to Refill,0,0,<=3,15-21,0,302,103,103,41,0,203,1805
2015,4,IVR,Late to Refill,0,0,<=3,15-21,1,125,45,45,45,45,98,833
2015,4,IVR,Late to Refill,0,0,<=3,22-30,0,709,247,247,92,0,486,6985
2015,4,IVR,Late to Refill,0,0,<=3,22-30,1,307,106,106,102,106,211,3037
2015,4,IVR,Late to Refill,0,0,<=3,31-60,0,714,234,234,103,0,447,11605
2015,4,IVR,Late to Refill,0,0,<=3,31-60,1,313,81,81,81,81,166,3886
2015,4,IVR,Late to Refill,0,0,<=3,14-Aug,0,651,221,221,109,0,437,2373
2015,4,IVR,Late to Refill,0,0,<=3,14-Aug,1,216,80,80,80,80,153,845
2015,4,IVR,Late to Refill,0,0,<=3,<=7,0,6547,2276,2276,1162,0,4323,5112
2015,4,IVR,Late to Refill,0,0,<=3,<=7,1,2719,963,963,957,963,1939,2320
2015,4,IVR,Late to Refill,0,0,<=3,>60,0,19,4,4,2,0,7,321
2015,4,IVR,Late to Refill,0,0,<=3,>60,1,4,2,2,2,2,5,161
2015,4,IVR,Late to Refill,0,0,>10,15-21,0,4758,1754,1754,786,0,35888,31367
2015,4,IVR,Late to Refill,0,0,>10,15-21,1,1588,561,561,553,561,11619,10004
2015,4,IVR,Late to Refill,0,0,>10,22-30,0,6816,2357,2357,818,0,64113,63085
2015,4,IVR,Late to Refill,0,0,>10,22-30,1,2200,752,752,746,752,20458,20013
2015,4,IVR,Late to Refill,0,0,>10,31-60,0,16710,5542,5542,1986,0,219900,264654
2015,4,IVR,Late to Refill,0,0,>10,31-60,1,5204,1682,1682,1661,1682,70569,79861
2015,4,IVR,Late to Refill,0,0,>10,14-Aug,0,3644,1305,1305,532,0,23906,16257
2015,4,IVR,Late to Refill,0,0,>10,14-Aug,1,1266,440,440,434,440,8678,5448
2015,4,IVR,Late to Refill,0,0,>10,<=7,0,163,61,61,25,0,12132,232
2015,4,IVR,Late to Refill,0,0,>10,<=7,1,67,24,24,24,24,4728,99
2015,4,IVR,Late to Refill,0,0,>10,>60,0,35030,11427,11427,3765,0,2234636,993345
2015,4,IVR,Late to Refill,0,0,>10,>60,1,11999,3809,3809,3785,3809,813001,334410
2015,4,IVR,Late to Refill,0,1,7-Apr,15-21,0,186,28,28,6,0,158,488
2015,4,IVR,Late to Refill,0,1,7-Apr,15-21,1,14,5,5,5,5,33,97
2015,4,IVR,Late to Refill,0,1,7-Apr,22-30,0,180,21,21,6,0,111,576
2015,4,IVR,Late to Refill,0,1,7-Apr,22-30,1,142,19,19,16,19,110,547
2015,4,IVR,Late to Refill,0,1,7-Apr,31-60,0,83,12,12,3,0,66,655
2015,4,IVR,Late to Refill,0,1,7-Apr,31-60,1,52,4,4,4,4,25,235
2015,4,IVR,Late to Refill,0,1,7-Apr,14-Aug,0,423,61,61,17,0,350,670
2015,4,IVR,Late to Refill,0,1,7-Apr,14-Aug,1,124,18,18,18,18,90,205
2015,4,IVR,Late to Refill,0,1,7-Apr,<=7,0,1952,412,412,117,0,2202,2234
2015,4,IVR,Late to Refill,0,1,7-Apr,<=7,1,548,131,131,125,131,713,719
2015,4,IVR,Late to Refill,0,1,10-Aug,15-21,0,146,16,16,7,0,141,297
2015,4,IVR,Late to Refill,0,1,10-Aug,15-21,1,5,2,2,2,2,20,39
2015,4,IVR,Late to Refill,0,1,10-Aug,22-30,0,90,14,14,5,0,134,409
2015,4,IVR,Late to Refill,0,1,10-Aug,22-30,1,25,5,5,5,5,46,125
2015,4,IVR,Late to Refill,0,1,10-Aug,31-60,0,58,7,7,0,0,65,374
2015,4,IVR,Late to Refill,0,1,10-Aug,14-Aug,0,969,188,188,57,0,1667,1712
2015,4,IVR,Late to Refill,0,1,10-Aug,14-Aug,1,240,71,71,71,71,636,653
2015,4,IVR,Late to Refill,0,1,<=3,15-21,0,132,21,21,2,0,44,368
2015,4,IVR,Late to Refill,0,1,<=3,15-21,1,107,9,9,9,9,19,157
2015,4,IVR,Late to Refill,0,1,<=3,22-30,0,269,30,30,12,0,49,851
2015,4,IVR,Late to Refill,0,1,<=3,22-30,1,23,5,5,5,5,12,142
2015,4,IVR,Late to Refill,0,1,<=3,31-60,0,127,16,16,4,0,27,919
2015,4,IVR,Late to Refill,0,1,<=3,31-60,1,13,5,5,5,5,6,271
2015,4,IVR,Late to Refill,0,1,<=3,14-Aug,0,481,66,66,23,0,140,714
2015,4,IVR,Late to Refill,0,1,<=3,14-Aug,1,171,20,20,20,20,39,223
2015,4,IVR,Late to Refill,0,1,<=3,<=7,0,3131,548,548,160,0,1058,1314
2015,4,IVR,Late to Refill,0,1,<=3,<=7,1,1478,238,238,236,238,439,571
2015,4,IVR,Late to Refill,0,1,<=3,>60,0,39,3,3,0,0,6,225
2015,4,IVR,Late to Refill,0,1,>10,15-21,0,1458,284,284,92,0,5433,5173
2015,4,IVR,Late to Refill,0,1,>10,15-21,1,289,70,70,69,70,1458,1243
2015,4,IVR,Late to Refill,0,1,>10,22-30,0,1419,298,298,89,0,8007,7857
2015,4,IVR,Late to Refill,0,1,>10,22-30,1,437,103,103,102,103,3027,2725
2015,4,IVR,Late to Refill,0,1,>10,31-60,0,2373,399,399,108,0,16958,17718
2015,4,IVR,Late to Refill,0,1,>10,31-60,1,612,120,120,116,120,5607,5370
2015,4,IVR,Late to Refill,0,1,>10,14-Aug,0,1014,219,219,69,0,3434,2711
2015,4,IVR,Late to Refill,0,1,>10,14-Aug,1,522,98,98,98,98,1740,1236
2015,4,IVR,Late to Refill,0,1,>10,<=7,0,120,25,25,2,0,5682,98
2015,4,IVR,Late to Refill,0,1,>10,<=7,1,10,4,4,4,4,409,19
2015,4,IVR,Late to Refill,0,1,>10,>60,0,26922,4663,4663,1347,0,1163032,416907
2015,4,IVR,Late to Refill,0,1,>10,>60,1,10941,1953,1953,1934,1953,494117,174954
2015,4,IVR,Chronic Non-Adherent,0,0,,,,,52848,0,,,,
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,15-21,0,26,8,8,2,0,39,138
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,15-21,1,10,3,3,3,3,18,54
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,22-30,0,14,5,5,0,0,24,122
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,22-30,1,38,2,2,2,2,14,60
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,31-60,0,9,3,3,1,0,19,149
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,31-60,1,13,6,6,6,6,40,247
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,14-Aug,0,90,18,18,3,0,103,198
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,14-Aug,1,14,6,6,6,6,31,58
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,<=7,0,161,46,46,16,0,249,72
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,<=7,1,108,27,27,27,27,154,7
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,>60,0,25,9,9,5,0,54,640
2015,4,IVR,Chronic Non-Adherent,0,0,7-Apr,>60,1,6,3,3,3,3,19,198
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,15-21,1,26,3,3,3,3,27,47
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,22-30,0,56,9,9,2,0,86,227
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,22-30,1,5,2,2,2,2,17,49
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,31-60,0,39,11,11,2,0,96,456
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,31-60,1,6,2,2,2,2,17,72
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,14-Aug,0,29,12,12,5,0,104,122
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,14-Aug,1,12,5,5,5,5,48,51
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,<=7,0,227,55,55,22,0,485,26
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,<=7,1,65,20,20,20,20,178,9
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,>60,0,4,2,2,0,0,19,140
2015,4,IVR,Chronic Non-Adherent,0,0,10-Aug,>60,1,5,2,2,2,2,18,145
2015,4,IVR,Chronic Non-Adherent,0,0,<=3,15-21,0,25851,8118,8118,2489,0,16,144471
